"Nazioni";"Percentuale popolazione con istruzione universitaria";"Anno";
"Austria";;"2001";
"Austria";;"2002";
"Austria";;"2003";
"Austria";21,0;"2004";
"Austria";20,5;"2005";
"Austria";21,2;"2006";
"Austria";21,1;"2007";
"Austria";22,2;"2008";
"Austria";23,5;"2009";
"Austria";23,5;"2010";
"Austria";23,8;"2011";
"Austria";26,3;"2012";
"Austria";27,3;"2013";
"Belgio";35,2;"2001";
"Belgio";35,2;"2002";
"Belgio";37,7;"2003";
"Belgio";39,9;"2004";
"Belgio";39,1;"2005";
"Belgio";41,4;"2006";
"Belgio";41,5;"2007";
"Belgio";42,9;"2008";
"Belgio";42,0;"2009";
"Belgio";44,4;"2010";
"Belgio";42,6;"2011";
"Belgio";43,9;"2012";
"Belgio";42,7;"2013";
"Bulgaria";23,6;"2001";
"Bulgaria";23,2;"2002";
"Bulgaria";23,6;"2003";
"Bulgaria";25,2;"2004";
"Bulgaria";24,9;"2005";
"Bulgaria";25,3;"2006";
"Bulgaria";26,0;"2007";
"Bulgaria";27,1;"2008";
"Bulgaria";27,9;"2009";
"Bulgaria";27,7;"2010";
"Bulgaria";27,3;"2011";
"Bulgaria";26,9;"2012";
"Bulgaria";29,4;"2013";
"Croazia";;"2001";
"Croazia";16,2;"2002";
"Croazia";16,9;"2003";
"Croazia";16,8;"2004";
"Croazia";17,4;"2005";
"Croazia";16,7;"2006";
"Croazia";16,7;"2007";
"Croazia";18,5;"2008";
"Croazia";20,6;"2009";
"Croazia";24,3;"2010";
"Croazia";24,5;"2011";
"Croazia";23,7;"2012";
"Croazia";25,6;"2013";
"Cipro";32,7;"2001";
"Cipro";36,0;"2002";
"Cipro";39,9;"2003";
"Cipro";41,0;"2004";
"Cipro";40,8;"2005";
"Cipro";46,1;"2006";
"Cipro";46,2;"2007";
"Cipro";47,1;"2008";
"Cipro";45,0;"2009";
"Cipro";45,3;"2010";
"Cipro";46,2;"2011";
"Cipro";49,9;"2012";
"Cipro";47,8;"2013";
"Repubblica Ceca";13,3;"2001";
"Repubblica Ceca";12,6;"2002";
"Repubblica Ceca";12,6;"2003";
"Repubblica Ceca";12,7;"2004";
"Repubblica Ceca";13,0;"2005";
"Repubblica Ceca";13,1;"2006";
"Repubblica Ceca";13,3;"2007";
"Repubblica Ceca";15,4;"2008";
"Repubblica Ceca";17,5;"2009";
"Repubblica Ceca";20,4;"2010";
"Repubblica Ceca";23,7;"2011";
"Repubblica Ceca";25,6;"2012";
"Repubblica Ceca";26,7;"2013";
"Danimarca";32,9;"2001";
"Danimarca";34,2;"2002";
"Danimarca";38,2;"2003";
"Danimarca";41,4;"2004";
"Danimarca";43,1;"2005";
"Danimarca";43,0;"2006";
"Danimarca";38,1;"2007";
"Danimarca";39,2;"2008";
"Danimarca";40,7;"2009";
"Danimarca";41,2;"2010";
"Danimarca";41,2;"2011";
"Danimarca";43,0;"2012";
"Danimarca";43,4;"2013";
"Estonia";28,5;"2001";
"Estonia";27,7;"2002";
"Estonia";28,0;"2003";
